id,vip,name,cik,filed
1,Bill Ackman,Pershing Square Capital Management,1336528,2024-11-14
2,Warren Buffett,Berkshire Hathaway,1067983,2024-11-14
3,Tom Gayner,Markel Corporation,1096343,2024-11-01
4,Tony Guerrerio and David Rolfe,Wedgewood Partners,859804,2024-11-14
5,Mason Hawkins,Southeastern Asset Management,807985,2024-11-14
6,John Paulson,Paulson & Co.,1035674,2024-11-14
7,Prem Watsa,Fairfax Financial Holdings,915191,2024-11-14
8,Wally Weitz,Wallace R. Weitz & Company,883965,2024-11-12
